0-1128ybp,1128-1458ybp,1458-2775ybp,3104-4422ybp,4751-6069ybp,6398-7716ybp,8045-9363ybp,9692-11010ybp,11339-12656ybp,12986-14623ybp,14859-15802ybp,16038-16980ybp,17216-18159ybp,18395-19338ybp,19574-20517ybp,20752-20988ybp
Sigmodon_hispidus,,Vulpes_vulpes,,,,Ursus_americanus,Spermophilus_sp,Panthera_leo_atrox,Odocoileus_sp,Panthera_onca,Scalopus_aquaticus,Tapirus_veroensis,,,
Sus_scrofa,,,,,,,Spilogale_sp,Panthera_onca,Onychomys_leucogaster,Paramylodon_harlani,Sorex_cinereus,Ursus_americanus,,,
Sylvilagus_audubonii,,,,,,,Sylvilagus_audubonii,Perognathus_sp,Panthera_leo_atrox,Perognathus_sp,Sorex_haydeni,Vulpes_vulpes,,,
Sylvilagus_floridanus,,,,,,,Sylvilagus_floridanus,Peromyscus_sp,Panthera_onca,Peromyscus_sp,Sorex_longirostris,,,,
Urocyon_cinereoargenteus,,,,,,,Synaptomys_cooperi,Puma_concolor,Paramylodon_harlani,Platygonus_compressus,Spermophilus_sp,,,,
Vulpes_vulpes,,,,,,,Taxidea_taxus,Puma_yaguarondi,Perognathus_sp,Reithrodontomys_sp,Spilogale_sp,,,,
,,,,,,,Thomomys_sp,Reithrodontomys_sp,Peromyscus_sp,Scalopus_aquaticus,Stockoceros_sp,,,,
,,,,,,,Urocyon_cinereoargenteus,Scalopus_aquaticus,Reithrodontomys_sp,Sigmodon_hispidus,Sylvilagus_audubonii,,,,
,,,,,,,Ursus_americanus,Sigmodon_hispidus,Scalopus_aquaticus,Sorex_cinereus,Sylvilagus_floridanus,,,,
,,,,,,,Vulpes_vulpes,Spermophilus_sp,Sigmodon_hispidus,Sorex_haydeni,Synaptomys_cooperi,,,,
,,,,,,,,Spilogale_sp,Sorex_cinereus,Sorex_longirostris,Tapirus_veroensis,,,,
,,,,,,,,Sylvilagus_audubonii,Sorex_haydeni,Spermophilus_sp,Urocyon_cinereoargenteus,,,,
,,,,,,,,Sylvilagus_floridanus,Sorex_longirostris,Spilogale_sp,Ursus_americanus,,,,
,,,,,,,,Tapirus_veroensis,Spermophilus_sp,Stockoceros_sp,Vulpes_vulpes,,,,
,,,,,,,,Taxidea_taxus,Spilogale_sp,Sylvilagus_audubonii,,,,,
,,,,,,,,Thomomys_sp,Sylvilagus_audubonii,Sylvilagus_floridanus,,,,,
,,,,,,,,Urocyon_cinereoargenteus,Sylvilagus_floridanus,Synaptomys_cooperi,,,,,
,,,,,,,,Ursus_americanus,Synaptomys_cooperi,Tapirus_veroensis,,,,,
,,,,,,,,Ursus_arctos,Tapirus_veroensis,Urocyon_cinereoargenteus,,,,,
,,,,,,,,Vulpes_vulpes,Urocyon_cinereoargenteus,Ursus_americanus,,,,,
,,,,,,,,,Ursus_americanus,Vulpes_vulpes,,,,,
,,,,,,,,,Ursus_arctos,Zapus_hudsonius,,,,,
,,,,,,,,,Vulpes_vulpes,,,,,,
